id,func,category
P189,aws_ring_buffer_acquire,CBMC_BUILTIN
P044,aws_array_list_front,LEN_INVARIANT
P191,aws_ring_buffer_acquire,VALIDITY_PRED
P187,aws_ring_buffer_acquire,VALIDITY_PRED
P036,aws_byte_buf_from_empty_array,LEN_CHANGE
P135,aws_linked_list_insert_before,VALIDITY_PRED
P190,aws_ring_buffer_acquire,LEN_INVARIANT
P026,aws_round_up_to_power_of_two,OVERFLOW_ARITH
P022,aws_mul_size_saturating,TYPE_VARIANT
P112,aws_byte_cursor_eq_byte_buf,LEN_INVARIANT
P005,aws_array_list_back,LEN_INVARIANT
P046,aws_array_list_clear,FRAME_COND
P003,aws_byte_buf_init,VALIDITY_PRED
P128,aws_linked_list_front,STRUCT_PTR
P119,aws_byte_cursor_from_string,LEN_CHANGE
P016,aws_add_size_saturating,TYPE_VARIANT
P068,aws_array_list_clean_up,ZERO_CHECK
P161,aws_ring_buffer_buf_belongs_to_pool,VALIDITY_PRED
P110,aws_byte_buf_init_copy_from_cursor,LEN_CHANGE
P035,aws_byte_buf_from_array,LEN_CHANGE
P140,aws_linked_list_next,VALIDITY_PRED
P007,aws_byte_buf_append,FRAME_COND
P042,aws_array_list_front,LEN_INVARIANT
P092,aws_array_list_swap,FRAME_COND
P043,aws_array_list_front,LEN_INVARIANT
P037,aws_byte_cursor_advance,LEN_INVARIANT
P151,aws_linked_list_swap_contents,STRUCT_PTR
P045,aws_array_list_clear,FRAME_COND
P144,aws_linked_list_prev,STRUCT_PTR
P188,aws_ring_buffer_acquire,LEN_CHANGE
P157,aws_nospec_mask,OVERFLOW_ARITH
P126,aws_linked_list_front,VALIDITY_PRED
P062,aws_linked_list_pop_back,STRUCT_PTR
P122,aws_linked_list_back,VALIDITY_PRED
P149,aws_linked_list_remove,STRUCT_PTR
P172,aws_ring_buffer_release,FRAME_COND
P162,aws_ring_buffer_buf_belongs_to_pool,FRAME_COND
P173,aws_string_bytes,RETVAL_SPEC
