"id","func_name","func_description","assert_text","gt_harness_assertions","suggested_taxonomy","your_taxonomy","notes"
"P001","aws_ring_buffer_init","initialises a ring buffer with allocator and size","ring_buf != ((void *)0) check failed","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","validity_predicate","",""
"P002","aws_ring_buffer_init","initialises a ring buffer with allocator and size","allocator != ((void *)0) check failed","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","validity_predicate","",""
"P003","aws_ring_buffer_init","initialises a ring buffer with allocator and size","size > 0 check failed","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","length_invariant","",""
"P004","aws_ring_buffer_init","initialises a ring buffer with allocator and size","aws_ring_buffer_is_valid(ring_buf)","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","validity_predicate","",""
"P005","aws_ring_buffer_init","initialises a ring buffer with allocator and size","ring_buf.allocator == allocator","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","validity_predicate","",""
"P006","aws_add_size_checked","adds two size_t values; returns error if overflow","(b > 0) && (a > (uint64_max - b))","assert(r == a + b); | assert((b > 0) && (a > (UINT64_MAX - b))); | assert(r == a + b); | assert((b > 0) && (a > (UINT32_MAX - b)));","validity_predicate","",""
"P007","aws_add_size_checked","adds two size_t values; returns error if overflow","(b > 0) && (a > (uint32_max - b))","assert(r == a + b); | assert((b > 0) && (a > (UINT64_MAX - b))); | assert(r == a + b); | assert((b > 0) && (a > (UINT32_MAX - b)));","validity_predicate","",""
"P008","aws_array_list_back","returns pointer to last element of a dynamic array list","list.data != null","assert(list.data != NULL); | assert(list.length != 0); | assert(aws_array_list_is_valid(&list));","validity_predicate","",""
"P009","aws_array_list_back","returns pointer to last element of a dynamic array list","list.length != 0","assert(list.data != NULL); | assert(list.length != 0); | assert(aws_array_list_is_valid(&list));","length_invariant","",""
"P010","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","aws_linked_list_node_prev_is_valid(&_arg_)","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","validity_predicate","",""
