"id","func_name","func_description","assert_text","gt_harness_assertions","suggested_taxonomy","claude_taxonomy","claude_disagrees_with_auto","claude_reasoning","your_taxonomy","notes"
"P001","aws_ring_buffer_init","initialises a ring buffer with allocator and size","ring_buf != ((void *)0) check failed","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","validity_predicate","validity_predicate","","null check on pointer input","",""
"P002","aws_ring_buffer_init","initialises a ring buffer with allocator and size","allocator != ((void *)0) check failed","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","frame_condition","validity_predicate","YES","null check, NOT unchanged-field; auto-suggestion wrong","",""
"P003","aws_ring_buffer_init","initialises a ring buffer with allocator and size","size > 0 check failed","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","length_invariant","length_invariant","","size is a size parameter","",""
"P004","aws_ring_buffer_init","initialises a ring buffer with allocator and size","aws_ring_buffer_is_valid(ring_buf)","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","validity_predicate","validity_predicate","","named validity predicate","",""
"P005","aws_ring_buffer_init","initialises a ring buffer with allocator and size","ring_buf.allocator == allocator","assert(aws_ring_buffer_is_valid(ring_buf)); | assert(ring_buf->allocator == allocator); | assert(ring_buf->allocation_end - ring_buf->allocation == size);","frame_condition","validity_predicate","YES","field SET TO input param, not unchanged; auto says frame but this is postcondition","",""
"P006","aws_add_size_checked","adds two size_t values; returns error if overflow","(b > 0) && (a > (uint64_max - b))","assert(r == a + b); | assert((b > 0) && (a > (UINT64_MAX - b))); | assert(r == a + b); | assert((b > 0) && (a > (UINT32_MAX - b)));","validity_predicate","validity_predicate","","u64 overflow path check","",""
"P007","aws_add_size_checked","adds two size_t values; returns error if overflow","(b > 0) && (a > (uint32_max - b))","assert(r == a + b); | assert((b > 0) && (a > (UINT64_MAX - b))); | assert(r == a + b); | assert((b > 0) && (a > (UINT32_MAX - b)));","validity_predicate","validity_predicate","","u32 overflow path check","",""
"P008","aws_array_list_back","returns pointer to last element of a dynamic array list","list.data != null","assert(list.data != NULL); | assert(list.length != 0); | assert(aws_array_list_is_valid(&list));","validity_predicate","validity_predicate","","pointer non-null","",""
"P009","aws_array_list_back","returns pointer to last element of a dynamic array list","list.length != 0","assert(list.data != NULL); | assert(list.length != 0); | assert(aws_array_list_is_valid(&list));","length_invariant","length_invariant","","length != 0","",""
"P010","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","aws_linked_list_node_prev_is_valid(&_arg_)","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","validity_predicate","validity_predicate","","named node validity predicate","",""
"P011","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","aws_linked_list_node_next_is_valid(&_arg_)","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","validity_predicate","validity_predicate","","named node validity predicate","",""
"P012","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","list.tail.prev == &to_add","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","length_invariant","validity_predicate","YES","pointer postcondition, not length; auto says length_invariant","",""
"P013","aws_linked_list_push_back","appends a node to the back of a doubly-linked list","to_add.prev == old_last","assert(aws_linked_list_is_valid(&list)); | assert(aws_linked_list_node_prev_is_valid(&to_add)); | assert(aws_linked_list_node_next_is_valid(&to_add)); | assert(list.tail.prev == &to_add); | assert(to_add.prev == old_last);","frame_condition","validity_predicate","YES","pointer postcondition, field was CHANGED to new value; auto says frame","",""
"P014","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == uint64_max","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","validity_predicate","","saturation result u64","",""
"P015","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == a + b","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","validity_predicate","","result = a+b (non-overflow)","",""
"P016","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == uint32_max","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","validity_predicate","","saturation result u32","",""
"P017","aws_add_size_saturating","adds two size_t values; saturates at SIZE_MAX on overflow","r == a + b","assert(r == UINT64_MAX); | assert(r == a + b); | assert(r == UINT32_MAX); | assert(r == a + b);","validity_predicate","validity_predicate","","result = a+b (non-overflow)","",""
"P018","aws_mul_size_checked","multiplies two size_t values; returns error if overflow","r == a * b","assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b)); | assert(r == a * b); | assert(__CPROVER_overflow_mult(a, b));","validity_predicate","validity_predicate","","result = a*b","",""
