id,func,property_text,context_hint,category
P189,aws_ring_buffer_acquire,"aws_mem_is_writable(buf.buffer, buf.capacity)",DOMAIN | STRUCTURAL,
P044,aws_array_list_front,list.length,CODE | DIRECT,
P191,aws_ring_buffer_acquire,"aws_ring_buffer_buf_belongs_to_pool(&ring_buf, &buf)",DOMAIN | STRUCTURAL,
P187,aws_ring_buffer_acquire,aws_byte_buf_is_valid(&_arg_),DOMAIN | STRUCTURAL,
P036,aws_byte_buf_from_empty_array,buf.capacity == capacity,CODE | DIRECT,
P135,aws_linked_list_insert_before,aws_linked_list_node_prev_is_valid(&_arg_),DOMAIN | STRUCTURAL,
P190,aws_ring_buffer_acquire,buf.len == 0,CODE | DIRECT,
P026,aws_round_up_to_power_of_two,popcount == 1,CODE | DIRECT,
P022,aws_mul_size_saturating,r == a * b,CODE | CONDITIONAL,
P112,aws_byte_cursor_eq_byte_buf,cur.len == buf.len,CODE | CONDITIONAL,
P005,aws_array_list_back,list.length != 0,CODE | DIRECT,
P046,aws_array_list_clear,list.current_size == old.current_size,CODE | EXHAUSTIVE,
P003,aws_byte_buf_init,aws_byte_buf_is_valid(&_arg_),DOMAIN | STRUCTURAL,
P128,aws_linked_list_front,front == old_first,CODE | STRUCTURAL,
P119,aws_byte_cursor_from_string,cursor.len == str.len,NL | DIRECT,
P016,aws_add_size_saturating,r == a + b,CODE | CONDITIONAL,
P068,aws_array_list_clean_up,aws_is_zeroed(list),DOMAIN | STRUCTURAL,
P161,aws_ring_buffer_buf_belongs_to_pool,aws_byte_buf_is_valid(&_arg_),DOMAIN | STRUCTURAL,
P110,aws_byte_buf_init_copy_from_cursor,buf.allocator == allocator,NL | DIRECT,
P035,aws_byte_buf_from_array,buf.capacity == length,CODE | DIRECT,
P140,aws_linked_list_next,aws_linked_list_node_prev_is_valid(rval),DOMAIN | STRUCTURAL,
P007,aws_byte_buf_append,old_to.len == to.len,CODE | EXHAUSTIVE,
P042,aws_array_list_front,"aws_bytes_eq(val, list.data, list.item_size)",CODE | DIRECT,
P092,aws_array_list_swap,list.alloc == old.alloc,CODE | EXHAUSTIVE,
P043,aws_array_list_front,list.data,CODE | DIRECT,
P037,aws_byte_cursor_advance,rv.ptr == null,CODE | CONDITIONAL,
P151,aws_linked_list_swap_contents,a.head.next == old_b.head.next,CODE | STRUCTURAL,
P045,aws_array_list_clear,list.alloc == old.alloc,CODE | EXHAUSTIVE,
P144,aws_linked_list_prev,rval == &before,CODE | DIRECT,
P188,aws_ring_buffer_acquire,buf.capacity == requested_size,NL | DIRECT,
P157,aws_nospec_mask,!((index >= bound) || (bound > (size_max / 2)) || (index > (size_max / 2))),CODE | CONDITIONAL,
P126,aws_linked_list_front,aws_linked_list_node_prev_is_valid(front),DOMAIN | STRUCTURAL,
P062,aws_linked_list_pop_back,list.tail.prev == old_prev_last,CODE | STRUCTURAL,
P122,aws_linked_list_back,aws_linked_list_node_next_is_valid(back),DOMAIN | STRUCTURAL,
P149,aws_linked_list_remove,prev.next == &next,CODE | STRUCTURAL,
P172,aws_ring_buffer_release,ring_buf.allocation_end == ring_buf_old.allocation_end,CODE | EXHAUSTIVE,
P162,aws_ring_buffer_buf_belongs_to_pool,ring_buf_old == ring_buf,CODE | EXHAUSTIVE,
P173,aws_string_bytes,aws_string_bytes(str) == str.bytes,CODE | DIRECT,
