func_name,condition,assert_text,taxonomy_suggested,taxonomy_human,attribution_suggested,attribution_human,llm_verify,notes
aws_add_size_checked,D_claude,(b > 0) && (a > (uint64_max - b)),validity_predicate,,never_generated,,SUCCESS,
aws_add_size_checked,D_claude,(b > 0) && (a > (uint32_max - b)),validity_predicate,,never_generated,,SUCCESS,
aws_byte_buf_init,D_claude,aws_byte_buf_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_array_list_back,D_claude,list.data != null,validity_predicate,,never_generated,,SUCCESS,
aws_array_list_back,D_claude,list.length != 0,length_invariant,,never_generated,,SUCCESS,
aws_byte_buf_append,D_claude,to.len == old_to.len + from.len,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,D_claude,old_to.len == to.len,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,D_claude,old_to.allocator == to.allocator,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,D_claude,old_to.capacity == to.capacity,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,D_claude,old_from.len == from.len,frame_condition,,never_generated,,SUCCESS,
aws_linked_list_push_back,D_claude,aws_linked_list_node_prev_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_back,D_claude,aws_linked_list_node_next_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_back,D_claude,list.tail.prev == &to_add,length_invariant,,never_generated,,SUCCESS,
aws_linked_list_push_back,D_claude,to_add.prev == old_last,frame_condition,,never_generated,,SUCCESS,
aws_add_size_saturating,D_claude,r == uint64_max,validity_predicate,,never_generated,,SUCCESS,
aws_add_size_saturating,D_claude,r == a + b,validity_predicate,,never_generated,,SUCCESS,
aws_add_size_saturating,D_claude,r == uint32_max,validity_predicate,,never_generated,,SUCCESS,
aws_add_size_saturating,D_claude,r == a + b,validity_predicate,,never_generated,,SUCCESS,
aws_mul_size_checked,D_claude,"__cprover_overflow_mult(a, b)",validity_predicate,,never_generated,,TIMEOUT,
aws_mul_size_checked,D_claude,"__cprover_overflow_mult(a, b)",validity_predicate,,never_generated,,TIMEOUT,
aws_mul_size_saturating,D_claude,r == uint64_max,validity_predicate,,never_generated,,TIMEOUT,
aws_mul_size_saturating,D_claude,r == a * b,validity_predicate,,never_generated,,TIMEOUT,
aws_mul_size_saturating,D_claude,r == uint32_max,validity_predicate,,never_generated,,TIMEOUT,
aws_mul_size_saturating,D_claude,r == a * b,validity_predicate,,never_generated,,TIMEOUT,
aws_is_power_of_two,D_claude,rval == (popcount == 1),length_invariant,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,D_claude,popcount == 1,length_invariant,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,D_claude,test_val <= result,validity_predicate,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,D_claude,test_val >= result >> 1,validity_predicate,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,D_claude,test_val > ((size_max >> 1) + 1),validity_predicate,,never_generated,,SUCCESS,
aws_byte_buf_reset,D_claude,buf.allocator == old.allocator,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_reset,D_claude,buf.buffer == old.buffer,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_reset,D_claude,buf.capacity == old.capacity,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_from_array,D_claude,buf.len == length,length_invariant,,never_generated,,SUCCESS,
aws_byte_buf_from_array,D_claude,buf.capacity == length,length_invariant,,never_generated,,SUCCESS,
aws_byte_buf_from_array,D_claude,buf.allocator == null,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_from_empty_array,D_claude,buf.len == 0,length_invariant,,never_generated,,SUCCESS,
aws_byte_buf_from_empty_array,D_claude,buf.capacity == capacity,length_invariant,,never_generated,,SUCCESS,
aws_byte_buf_from_empty_array,D_claude,buf.allocator == null,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_eq,D_claude,lhs.len == rhs.len,length_invariant,,never_generated,,SUCCESS,
aws_byte_cursor_advance,D_claude,rv.ptr == old.ptr,frame_condition,,never_generated,,SUCCESS,
aws_byte_cursor_advance,D_claude,cursor.ptr == old.ptr + len,frame_condition,,never_generated,,SUCCESS,
aws_byte_cursor_advance,D_claude,cursor.len == old.len - len,frame_condition,,never_generated,,SUCCESS,
aws_array_list_length,D_claude,aws_array_list_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_array_list_front,D_claude,"aws_bytes_eq(val, list.data, list.item_size)",length_invariant,,never_generated,,SUCCESS,
aws_array_list_front,D_claude,list.data,validity_predicate,,never_generated,,SUCCESS,
aws_array_list_front,D_claude,list.length,length_invariant,,never_generated,,SUCCESS,
aws_array_list_clear,D_claude,aws_array_list_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_array_list_clear,D_claude,list.alloc == old.alloc,frame_condition,,never_generated,,SUCCESS,
aws_array_list_clear,D_claude,list.current_size == old.current_size,frame_condition,,never_generated,,SUCCESS,
aws_array_list_clear,D_claude,list.item_size == old.item_size,frame_condition,,never_generated,,SUCCESS,
aws_array_list_clear,D_claude,list.data == old.data,frame_condition,,never_generated,,SUCCESS,
aws_array_list_pop_back,D_claude,list.length == old.length - 1,frame_condition,,never_generated,,SUCCESS,
aws_array_list_pop_back,D_claude,list.data,validity_predicate,,never_generated,,SUCCESS,
aws_array_list_pop_back,D_claude,list.alloc == old.alloc,frame_condition,,never_generated,,SUCCESS,
aws_array_list_pop_back,D_claude,list.current_size == old.current_size,frame_condition,,never_generated,,SUCCESS,
aws_array_list_pop_back,D_claude,list.item_size == old.item_size,frame_condition,,never_generated,,SUCCESS,
aws_array_list_push_back,D_claude,list.length == old.length + 1,frame_condition,,never_generated,,SUCCESS,
aws_array_list_get_at,D_claude,list.data,validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_front,D_claude,aws_linked_list_node_prev_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_front,D_claude,aws_linked_list_node_next_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_front,D_claude,list.head.next == &to_add,length_invariant,,never_generated,,SUCCESS,
aws_linked_list_push_front,D_claude,to_add.next == old_first,frame_condition,,never_generated,,SUCCESS,
aws_linked_list_pop_back,D_claude,ret.next == null && ret.prev == null,validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_pop_back,D_claude,list.tail.prev == old_prev_last,frame_condition,,never_generated,,SUCCESS,
aws_linked_list_pop_front,D_claude,ret.next == null && ret.prev == null,validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_pop_front,D_claude,list.head.next == old_next_first,frame_condition,,never_generated,,SUCCESS,
aws_linked_list_init,D_claude,aws_linked_list_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_node_reset,D_claude,aws_is_zeroed(node),validity_predicate,,never_generated,,SUCCESS,
aws_array_eq,D_claude,lhs_len == rhs_len,validity_predicate,,never_generated,,SUCCESS,
aws_array_eq_c_str,D_claude,array_len == str_len,validity_predicate,,never_generated,,SUCCESS,
