func_name,condition,assert_text,taxonomy_suggested,taxonomy_human,attribution_suggested,attribution_human,llm_verify,notes
aws_add_size_checked,A_gptoss120b,(b > 0) && (a > (uint64_max - b)),validity_predicate,,never_generated,,SUCCESS,
aws_add_size_checked,A_gptoss120b,(b > 0) && (a > (uint32_max - b)),validity_predicate,,never_generated,,SUCCESS,
aws_array_list_back,A_gptoss120b,list.data != null,validity_predicate,,never_generated,,SUCCESS,
aws_array_list_back,A_gptoss120b,list.length != 0,length_invariant,,never_generated,,SUCCESS,
aws_byte_buf_append,A_gptoss120b,old_to.len == to.len,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,A_gptoss120b,old_to.allocator == to.allocator,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,A_gptoss120b,old_to.capacity == to.capacity,frame_condition,,never_generated,,SUCCESS,
aws_byte_buf_append,A_gptoss120b,old_from.len == from.len,frame_condition,,never_generated,,SUCCESS,
aws_linked_list_push_back,A_gptoss120b,aws_linked_list_node_prev_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_back,A_gptoss120b,aws_linked_list_node_next_is_valid(&_arg_),validity_predicate,,never_generated,,SUCCESS,
aws_linked_list_push_back,A_gptoss120b,list.tail.prev == &to_add,length_invariant,,never_generated,,SUCCESS,
aws_linked_list_push_back,A_gptoss120b,to_add.prev == old_last,frame_condition,,never_generated,,SUCCESS,
aws_add_size_saturating,A_gptoss120b,r == uint64_max,validity_predicate,,never_generated,,UNKNOWN,
aws_add_size_saturating,A_gptoss120b,r == a + b,validity_predicate,,never_generated,,UNKNOWN,
aws_add_size_saturating,A_gptoss120b,r == uint32_max,validity_predicate,,never_generated,,UNKNOWN,
aws_add_size_saturating,A_gptoss120b,r == a + b,validity_predicate,,never_generated,,UNKNOWN,
aws_mul_size_checked,A_gptoss120b,r == a * b,validity_predicate,,never_generated,,FAIL,
aws_mul_size_checked,A_gptoss120b,"__cprover_overflow_mult(a, b)",validity_predicate,,never_generated,,FAIL,
aws_mul_size_checked,A_gptoss120b,r == a * b,validity_predicate,,never_generated,,FAIL,
aws_mul_size_checked,A_gptoss120b,"__cprover_overflow_mult(a, b)",validity_predicate,,never_generated,,FAIL,
aws_mul_size_saturating,A_gptoss120b,r == uint64_max,validity_predicate,,never_generated,,UNKNOWN,
aws_mul_size_saturating,A_gptoss120b,r == a * b,validity_predicate,,never_generated,,UNKNOWN,
aws_mul_size_saturating,A_gptoss120b,r == uint32_max,validity_predicate,,never_generated,,UNKNOWN,
aws_mul_size_saturating,A_gptoss120b,r == a * b,validity_predicate,,never_generated,,UNKNOWN,
aws_is_power_of_two,A_gptoss120b,rval == (popcount == 1),length_invariant,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,A_gptoss120b,popcount == 1,length_invariant,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,A_gptoss120b,test_val <= result,validity_predicate,,never_generated,,SUCCESS,
aws_round_up_to_power_of_two,A_gptoss120b,test_val >= result >> 1,validity_predicate,,never_generated,,SUCCESS,
