label,n,n_success,n_unknown,n_fail,n_compile_err,pass_pct,unknown_pct,avg_iters,avg_assert_iter1,avg_assert_final,assert_delta,n_zero_assert_iter1,wrong_func_iter1,wrong_func_iter1_pct,wrong_func_final,wrong_func_final_pct,total_actions,n_delete,n_add,n_weaken,delete_pct,sacrifice_delete_unknown,sacrifice_weaken_unknown,sacrifice_total,correction_delete_violation,correction_weaken_violation,correction_total,sacrifice_ratio,pass_after_sacrifice,still_unknown_after_sacrifice
A/qwen2.5,84,42,24,0,0,50.0,28.57142857142857,3.0,8.642857142857142,7.333333333333333,-1.3095238095238093,0,25,29.761904761904763,2,2.380952380952381,319,188,95,36,58.93416927899686,151,21,172,17,5,22,0.8865979381443299,8,16
A/claude,84,78,3,0,0,92.85714285714286,3.571428571428571,2.1547619047619047,10.571428571428571,7.666666666666667,-2.904761904761904,0,23,27.380952380952383,0,0.0,542,303,134,105,55.904059040590404,172,100,272,12,4,16,0.9444444444444444,35,3
A/gptoss120b,80,50,27,0,1,62.5,33.75,3.125,10.025,8.45,-1.575000000000001,0,23,28.749999999999996,6,7.5,457,257,173,27,56.236323851203494,210,15,225,38,12,50,0.8181818181818182,9,17
G/gptoss120b,83,26,38,0,3,31.32530120481928,45.78313253012048,1.0,10.25301204819277,10.25301204819277,0.0,0,24,28.915662650602407,24,28.915662650602407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H/gptoss120b,83,52,29,0,0,62.65060240963856,34.93975903614458,3.5301204819277108,9.771084337349398,8.626506024096386,-1.144578313253012,0,23,27.710843373493976,7,8.433734939759036,470,251,174,45,53.404255319148945,228,23,251,23,17,40,0.8625429553264605,12,16
B/qwen2.5,84,42,27,0,0,50.0,32.142857142857146,2.892857142857143,8.511904761904763,7.583333333333333,-0.9285714285714297,0,24,28.57142857142857,1,1.1904761904761905,391,207,141,43,52.94117647058824,172,30,202,22,9,31,0.8669527896995708,11,19
B/claude,84,76,5,0,0,90.47619047619048,5.952380952380952,1.9047619047619047,10.107142857142858,8.261904761904763,-1.845238095238095,0,23,27.380952380952383,0,0.0,405,232,109,64,57.28395061728395,99,57,156,7,7,14,0.9176470588235294,15,5
C/qwen2.5,83,30,31,0,0,36.144578313253014,37.34939759036144,3.1927710843373496,7.9156626506024095,8.036144578313253,0.12048192771084398,0,1,1.2048192771084338,1,1.2048192771084338,184,60,73,51,32.608695652173914,33,34,67,25,15,40,0.6261682242990654,1,14
D/qwen2.5,83,27,31,0,0,32.53012048192771,37.34939759036144,3.3373493975903616,7.9156626506024095,8.144578313253012,0.2289156626506026,0,1,1.2048192771084338,0,0.0,259,74,83,102,28.57142857142857,49,52,101,22,40,62,0.6196319018404908,1,16
E/qwen2.5,83,45,23,0,0,54.21686746987952,27.710843373493976,2.5783132530120483,8.168674698795181,7.855421686746988,-0.3132530120481931,0,1,1.2048192771084338,1,1.2048192771084338,96,53,33,10,55.208333333333336,26,10,36,26,0,26,0.5806451612903226,3,11
E/claude,83,76,3,0,0,91.56626506024097,3.614457831325301,1.6385542168674698,7.783132530120482,7.036144578313253,-0.7469879518072293,0,6,7.228915662650602,0,0.0,142,58,37,47,40.845070422535215,35,45,80,18,0,18,0.8163265306122449,14,2
F/claude,83,76,4,0,0,91.56626506024097,4.819277108433735,1.5542168674698795,8.542168674698795,7.759036144578313,-0.7831325301204819,0,5,6.024096385542169,0,0.0,118,56,22,40,47.45762711864407,40,40,80,11,0,11,0.8791208791208791,10,4
A/deepseekv4flash,79,2,77,0,0,2.5316455696202533,97.46835443037975,2.962025316455696,8.39240506329114,7.886075949367089,-0.5063291139240507,0,20,25.31645569620253,3,3.79746835443038,488,241,195,52,49.385245901639344,206,52,258,0,0,0,1.0,1,50
G/deepseekv4flash,82,0,82,0,0,0.0,100.0,1.0,9.853658536585366,9.853658536585366,0.0,0,19,23.170731707317074,19,23.170731707317074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H/deepseekv4flash,82,0,82,0,0,0.0,100.0,3.0,8.902439024390244,8.036585365853659,-0.8658536585365848,1,23,28.04878048780488,5,6.097560975609756,551,272,207,72,49.364791288566245,272,72,344,0,0,0,1.0,0,56
